Recorded time,Building Insurance Claim Size,Content Insurance Claim Size,Year,Month,Day
03/01/1980,1098096.63,585651.5,1980,1,3
04/01/1980,1756954.61,336749.6,1980,1,4
07/01/1980,1244509.52,3367496,1980,1,7
10/01/1980,4452039.53,4273234,1980,1,10
10/01/1980,2494875.55,3543192,1980,1,10
16/01/1980,775689.6,993117.1,1980,1,16
16/01/1980,812591.51,673499.3,1980,1,16
19/01/1980,2371573.94,168374.8,1980,1,19
26/01/1980,6918008.78,4456808,1980,1,26
26/01/1980,1602306,880433.4,1980,1,26
28/01/1980,18301610.54,7913031,1980,1,28
03/02/1980,1545622.25,456808.2,1980,2,3
05/02/1980,4392386.53,137628.1,1980,2,5
07/02/1980,1120988.29,720764.3,1980,2,7
13/02/1980,10248901.9,3873174,1980,2,13
16/02/1980,3081647.14,2342606,1980,2,16
19/02/1980,2928257.69,8784773,1980,2,19
20/02/1980,959004.39,556369,1980,2,20
22/02/1980,1756954.61,292825.8,1980,2,22
23/02/1980,3806734.99,8658858,1980,2,23
27/02/1980,512445.1,1171303,1980,2,27
07/03/1980,667749.63,2436483,1980,3,7
13/03/1980,1674612.01,73206.44,1980,3,13
13/03/1980,73206.44,2342606,1980,3,13
17/03/1980,4392386.53,897863.8,1980,3,17
26/03/1980,622655.93,1308665,1980,3,26
16/04/1980,732064.42,805270.9,1980,4,16
01/05/1980,369019.03,1098097,1980,5,1
01/05/1980,1024890.19,1024890,1980,5,1
02/05/1980,1088989.75,839721.8,1980,5,2
02/05/1980,2124303.07,1138851,1980,5,2
04/05/1980,898975.11,805270.9,1980,5,4
09/05/1980,1098096.63,2196193,1980,5,9
18/05/1980,5856515.37,1464129,1980,5,18
26/05/1980,9325036.6,4295754,1980,5,26
29/05/1980,732064.42,1024890,1980,5,29
03/06/1980,7320644.22,14641290,1980,6,3
12/06/1980,2306002.93,146412.9,1980,6,12
15/06/1980,1244509.52,1424597,1980,6,15
16/06/1980,612005.86,1112738,1980,6,16
21/06/1980,1171303.07,790629.6,1980,6,21
30/06/1980,3806734.99,819912.2,1980,6,30
04/07/1980,946705.71,2060029,1980,7,4
04/07/1980,1113212.3,4450640,1980,7,4
12/07/1980,1295754.03,382137.6,1980,7,12
14/07/1980,1156661.79,292825.8,1980,7,14
15/07/1980,95168374.82,106149300,1980,7,15
26/07/1980,1582723.28,52708.64,1980,7,26
28/07/1980,1048521.23,1098097,1980,7,28
07/08/1980,4278042.46,1157665,1980,8,7
08/08/1980,2489019.03,434846.3,1980,8,8
11/08/1980,1036727.67,867877,1980,8,11
18/08/1980,52708.64,1683748,1980,8,18
23/08/1980,1464128.84,253294.3,1980,8,23
27/08/1980,1451664.71,600292.8,1980,8,27
28/08/1980,512445.1,1590044,1980,8,28
30/08/1980,146412.88,5270864,1980,8,30
05/09/1980,1756954.61,288433.4,1980,9,5
08/09/1980,555954.61,2064999,1980,9,8
11/09/1980,1317715.96,270863.8,1980,9,11
12/09/1980,1334613.47,2928258,1980,9,12
12/09/1980,1243414.35,512445.1,1980,9,12
15/09/1980,5417276.72,2196193,1980,9,15
15/09/1980,5027672.04,1464129,1980,9,15
25/09/1980,234260.61,1893119,1980,9,25
30/09/1980,439238.65,2342606,1980,9,30
01/10/1980,658857.98,1171303,1980,10,1
06/10/1980,1573131.77,395314.8,1980,10,6
07/10/1980,1756954.61,485156.7,1980,10,7
08/10/1980,1325797.95,395314.8,1980,10,8
12/10/1980,2515698.39,2196193,1980,10,12
16/10/1980,878477.31,1512748,1980,10,16
17/10/1980,11310395.31,7759883,1980,10,17
20/10/1980,1756954.61,117130.3,1980,10,20
23/10/1980,512445.1,951683.7,1980,10,23
27/10/1980,1317715.96,1481991,1980,10,27
29/10/1980,1683748.17,329429,1980,10,29
30/10/1980,1390922.4,73206.44,1980,10,30
05/11/1980,3660322.11,2664714,1980,11,5
10/11/1980,1610541.73,724743.8,1980,11,10
13/11/1980,1530014.64,585651.5,1980,11,13
14/11/1980,752197.66,717347,1980,11,14
18/11/1980,2196193.27,3206442,1980,11,18
19/11/1980,1317715.96,1554905,1980,11,19
08/12/1980,1464128.84,585651.5,1980,12,8
09/12/1980,1244509.52,717423.1,1980,12,9
09/12/1980,2049780.38,585651.5,1980,12,9
10/12/1980,3660322.11,2196193,1980,12,10
12/12/1980,2668991.22,484887.3,1980,12,12
14/12/1980,1260241.58,1260615,1980,12,14
17/12/1980,7320644.22,12152270,1980,12,17
17/12/1980,1317715.96,517746.7,1980,12,17
25/12/1980,1756954.61,1024890,1980,12,25
27/12/1980,2489019.03,351390.9,1980,12,27
31/12/1980,1464128.84,866764.3,1980,12,31
01/01/1981,1284403.67,340760.2,1981,1,1
01/01/1981,1048492.79,266055,1981,1,1
01/01/1981,595321.1,1808650,1981,1,1
03/01/1981,3145478.37,3770152,1981,1,3
