Recorded time,Building Insurance Claim Size,Content Insurance Claim Size,Year,Month
3/1/1980,1098096.63,585651.50,1980,1
4/1/1980,1756954.61,336749.60,1980,1
7/1/1980,1244509.52,3367496.00,1980,1
10/1/1980,4452039.53,4273234.00,1980,1
10/1/1980,2494875.55,3543192.00,1980,1
1/16/1980,775689.60,993117.10,1980,1
1/16/1980,812591.51,673499.30,1980,1
1/19/1980,2371573.94,168374.80,1980,1
1/26/1980,6918008.78,4456808.00,1980,1
1/26/1980,1602306.00,880433.40,1980,1
1/28/1980,18301610.54,7913031.00,1980,1
3/2/1980,1545622.25,456808.20,1980,2
5/2/1980,4392386.53,137628.10,1980,2
7/2/1980,1120988.29,720764.30,1980,2
2/13/1980,10248901.90,3873174.00,1980,2
2/16/1980,3081647.14,2342606.00,1980,2
2/19/1980,2928257.69,8784773.00,1980,2
2/20/1980,959004.39,556369.00,1980,2
2/22/1980,1756954.61,292825.80,1980,2
2/23/1980,3806734.99,8658858.00,1980,2
2/27/1980,512445.10,1171303.00,1980,2
7/3/1980,667749.63,2436483.00,1980,3
3/13/1980,1674612.01,73206.44,1980,3
3/13/1980,73206.44,2342606.00,1980,3
3/17/1980,4392386.53,897863.80,1980,3
3/26/1980,622655.93,1308665.00,1980,3
4/16/1980,732064.42,805270.90,1980,4
1/5/1980,369019.03,1098097.00,1980,5
1/5/1980,1024890.19,1024890.00,1980,5
2/5/1980,1088989.75,839721.80,1980,5
2/5/1980,2124303.07,1138851.00,1980,5
4/5/1980,898975.11,805270.90,1980,5
9/5/1980,1098096.63,2196193.00,1980,5
5/18/1980,5856515.37,1464129.00,1980,5
5/26/1980,9325036.60,4295754.00,1980,5
5/29/1980,732064.42,1024890.00,1980,5
3/6/1980,7320644.22,14641290.00,1980,6
12/6/1980,2306002.93,146412.90,1980,6
6/15/1980,1244509.52,1424597.00,1980,6
6/16/1980,612005.86,1112738.00,1980,6
6/21/1980,1171303.07,790629.60,1980,6
6/30/1980,3806734.99,819912.20,1980,6
4/7/1980,946705.71,2060029.00,1980,7
4/7/1980,1113212.30,4450640.00,1980,7
12/7/1980,1295754.03,382137.60,1980,7
